trade_date,open,high,low,close,change,return,volume,volume_in_money
2015/10/20,7033.21,7163.26,6996.56,7162.08,114.7,1.63,1380627.91,19131474.78
2015/10/19,7072.36,7113.66,6951.8,7047.37,-0.19,0,1560079.32,21321988.61
2015/10/16,6979.68,7052.14,6883.2,7047.56,118.32,1.71,1645099.69,21465581.27
2015/10/15,6694.07,6929.48,6694.07,6929.24,204.74,3.04,1317950.67,17673500.41
2015/10/14,6772.46,6842.87,6709.35,6724.5,-77.58,-1.14,1258824.5,16253261.93
2015/10/13,6672.66,6816.78,6650.62,6802.08,83.36,1.24,1329775.22,16700850.86
2015/10/12,6505.91,6788.4,6501.76,6718.72,248.67,3.84,1536198.77,19487254.92
2015/10/9,6369.75,6495.29,6353.04,6470.05,97.56,1.53,997116.65,12266645.33
2015/10/8,6322.54,6409.74,6281.53,6372.49,248.77,4.06,949073.19,11765324.68
2015/9/30,6139.14,6165.75,6066.83,6123.73,20.12,0.33,564976.71,6958003.61
2015/9/29,6114.48,6183.83,6065.85,6103.61,-116.09,-1.87,685794.94,8163015.44
2015/9/28,6118.23,6221.01,6020.46,6219.69,111.32,1.82,677371.58,8118313.36
2015/9/25,6294.2,6336.43,6064.72,6108.38,-206.73,-3.27,989420.32,11527717.04
2015/9/24,6250.09,6324.31,6227.39,6315.11,90.51,1.45,932901.91,11199462.59
2015/9/23,6192.33,6302.64,6162.97,6224.6,-71.33,-1.13,1012473.25,12188314.24
2015/9/22,6264.06,6362.05,6215.57,6295.93,45.49,0.73,1186896.25,14248854.83
2015/9/21,5966.29,6251.62,5943.59,6250.44,213.56,3.54,1054339.3,12311339.51
2015/9/18,6007.46,6073.55,5934.1,6036.88,71.47,1.2,836521.1,9461159.68
2015/9/17,6057.87,6242.25,5965.41,5965.41,-119.43,-1.96,1278357.29,14529476.32
2015/9/16,5722.53,6107.37,5704.12,6084.84,376.81,6.6,1049529.22,11335009.49
2015/9/15,5886.27,5996.22,5689.97,5708.03,-341.76,-5.65,934274.26,9745979.73
2015/9/14,6535.26,6554.38,6018.44,6049.79,-443.53,-6.83,1191136.65,13810200.91
2015/9/11,6423.52,6523.19,6385.31,6493.32,53.01,0.82,925720.28,11334922.66
2015/9/10,6434.53,6565.16,6407.12,6440.31,-110.7,-1.69,1064151.79,12923179.33
2015/9/9,6408.67,6609.94,6380.25,6551.01,176.15,2.76,1500978.26,18511848.04
2015/9/8,6096.01,6387.36,6014.57,6374.86,231.3,3.76,855098.37,9958093.02
2015/9/7,6187.69,6379.2,6094.49,6143.56,21,0.34,1024470.7,12312543.71
2015/9/2,5878.21,6314.29,5866.66,6122.55,-46.65,-0.76,1150327.23,13064019.91
2015/9/1,6507.88,6507.88,6161.03,6169.21,-412.11,-6.26,986679.29,11281846.22
2015/8/31,6791.42,6791.42,6578.35,6581.31,-261.58,-3.82,1162585.51,14829683.79
2015/8/28,6554.76,6844.45,6512.7,6842.89,386.84,5.99,1427585.16,17836490.41
2015/8/27,6344.96,6457.86,6099.17,6456.06,217.53,3.49,1249323.38,14810825.18
2015/8/26,6470,6687.53,6165.11,6238.53,-242.89,-3.75,1491972.09,17811657.32
2015/8/25,6496.11,6666.81,6467.81,6481.41,-524.78,-7.49,1041622.91,12780281.13
2015/8/24,7255.3,7292.77,7003.66,7006.19,-606.71,-7.97,921922.23,12350631.04
2015/8/21,7884.31,8006.29,7583.7,7612.9,-436.61,-5.42,1345610.93,19378999.92
2015/8/20,8255.93,8376.67,8049.51,8049.51,-291.47,-3.49,1383144.67,21550167.39
2015/8/19,7865.64,8404.94,7667.32,8340.98,179.71,2.2,1626222.5,24773554.72
2015/8/18,8842.16,8858.33,8140.91,8161.27,-659.19,-7.47,1843957,29532545.19
2015/8/17,8613.29,8820.98,8582.83,8820.46,195.22,2.26,1620132.81,26434670.16
2015/8/14,8599.77,8717.07,8548.34,8625.24,90.81,1.06,1607130.73,26236590.49
2015/8/13,8287.77,8535.37,8237.89,8534.43,198.09,2.38,1336502.84,21670692.81
2015/8/12,8342.61,8490.27,8320.05,8336.34,-98.99,-1.17,1326806.46,21793159.23
2015/8/11,8402.32,8551.53,8356.52,8435.33,41.24,0.49,1624348.25,26307457.83
2015/8/10,8106.12,8437.92,8079.88,8394.09,380.77,4.75,1453173.7,23079953.08
2015/8/7,7874.42,8015.37,7855.68,8013.32,221.29,2.84,1094696.63,17059607.14
2015/8/6,7660.58,7891.56,7633.29,7792.03,-47.31,-0.6,900582.8,13735146.66
2015/8/5,7933.32,8047.7,7773.92,7839.34,-102.76,-1.29,1199997.67,18615321.98
2015/8/4,7548.03,7942.27,7532.83,7942.1,401.89,5.33,1171803.2,17549723.84
2015/8/3,7605.9,7658.17,7370.04,7540.21,-186.86,-2.42,1123645.89,16512158.64
2015/7/31,7692.48,7876.65,7634.54,7727.06,-73.52,-0.94,1078341.36,16976302.38
2015/7/30,7979.57,8174.7,7766.46,7800.58,-222.22,-2.77,1419287,22832742.96
2015/7/29,7765.95,8024.58,7472.63,8022.8,372.98,4.88,1327452.45,20702268.84
2015/7/28,7514.15,7893.94,7261.61,7649.82,-144.36,-1.85,1802943.3,26554885.07
2015/7/27,8240.68,8493.35,7791.6,7794.18,-630.89,-7.49,1717400.43,27780758.47
2015/7/24,8580.65,8706.25,8348.42,8425.07,-126.92,-1.48,1969478.75,31978366.16
2015/7/23,8330.47,8585.8,8288.84,8551.99,231.75,2.79,1774949.66,27374455.15
2015/7/22,8207.17,8354.39,8075.6,8320.24,99.77,1.21,1611658.47,25046170.81
2015/7/21,8011.9,8291.93,7937.63,8220.46,103.97,1.28,1430975.93,22296231.49
2015/7/20,8025.1,8250.4,7931.65,8116.5,121.8,1.52,1621318.4,25254255.93
2015/7/17,7629.78,8050.73,7620.16,7994.7,415.94,5.49,1393773.7,20839414.57
2015/7/16,7342.83,7729.7,7078.71,7578.76,173.46,2.34,1420130.79,20052046.61
2015/7/15,7836.08,7837.84,7391.96,7405.3,-453.76,-5.77,1642676.58,23173412.5
2015/7/14,7854,8076.19,7772.39,7859.06,163.42,2.12,1673837.03,24987791.64
2015/7/13,7563.38,7695.67,7502.55,7695.64,450.85,6.22,1245776.79,17473160.6
2015/7/10,7101.82,7245.33,7081.35,7244.78,348.43,5.05,721411.94,9242769.89
2015/7/9,6525.12,6896.49,6525.12,6896.35,293.98,4.45,958157.47,11377445.77
2015/7/8,6444.67,6702.28,6444.25,6602.37,-161.15,-2.38,2753407.59,30633269.02
2015/7/7,6977.55,7030.98,6763.12,6763.53,-472.47,-6.53,1141159.61,13075687.47
2015/7/6,7842.43,7842.43,6883.61,7236,-119.49,-1.62,2307543.85,29517322.12
2015/7/3,7530.27,7930.15,7249.31,7355.49,-479.61,-6.12,1561059.93,21190812.21
2015/7/2,8369.49,8433.52,7787.1,7835.1,-576.81,-6.86,1569738.35,23642749.75
2015/7/1,8808.51,9103.09,8385.43,8411.91,-494.11,-5.55,1712974.26,28764238.58
2015/6/30,8302.18,8912.4,7882.33,8906.02,421.38,4.97,1955685.35,30672343.93
2015/6/29,9267.03,9281.17,8339.33,8484.64,-593.42,-6.54,1816527.78,29129381.67
2015/6/26,9571.56,9603.13,9059.36,9078.07,-828.04,-8.36,1450765.86,24720631.55
2015/6/25,10298.56,10343.05,9771.89,9906.1,-361.53,-3.52,1640733.83,31482925.92
2015/6/24,10136.25,10271.23,9950.62,10267.63,220.75,2.2,1582094.39,30064277.17
2015/6/23,9951.78,10074.83,9333.91,10046.88,59.47,0.6,1410458.39,25519643.19
2015/6/19,10475.92,10601.04,9968.99,9987.41,-743.97,-6.93,1378486.11,26033952.95
2015/6/18,11093.3,11178.32,10714.33,10731.38,-369.17,-3.33,1543519.39,30739331.12
2015/6/17,10865.39,11133.11,10497.69,11100.55,220.71,2.03,1600395.87,32153614.51
2015/6/16,11205.75,11205.75,10768.62,10879.84,-453.05,-4,1795038.41,36299037.1
2015/6/15,11589.95,11616.35,11304.04,11332.89,-213,-1.84,2058773.79,42589089.72
2015/6/12,11424.33,11616.38,11400.65,11545.89,179.6,1.58,2106555.87,42543323.15
2015/6/11,11220.07,11367.63,11155.95,11366.29,158.23,1.41,1903679.81,38179854.38
2015/6/10,10947.49,11319.9,10830.33,11208.06,194.32,1.76,1845903.64,37512115.64
2015/6/9,11009.88,11089.2,10861.58,11013.74,-17.18,-0.16,1851844.69,36524311.69
2015/6/8,11157.18,11157.18,10860.39,11030.92,-113.6,-1.02,2356305.81,45781855.55
2015/6/5,11117.36,11236.15,10887.17,11144.52,179.11,1.63,2488746,48426702.78
2015/6/4,10986.42,11023.34,10269.04,10965.41,-14.58,-0.13,2114601.89,41610585.45
2015/6/3,10973.96,11055.21,10674.07,10979.99,93.59,0.86,2090595.7,42251626.41
2015/6/2,10592.75,10887.88,10541.28,10886.4,398.09,3.8,2132342.25,41321344.91
2015/6/1,10067.53,10488.89,10067.53,10488.31,521.47,5.23,1860161.36,35212999.11
2015/5/29,9846.39,10140.1,9433.09,9966.85,98.42,1,1987726.38,36569360.26
2015/5/28,10501.36,10637.91,9860.55,9868.42,-628.92,-5.99,2580940.75,48452559.2
2015/5/27,10421.3,10539.75,10192.18,10497.34,123.76,1.19,2326121.8,44844454.63
2015/5/26,10117.73,10373.84,10046.24,10373.58,333.49,3.32,2385142.76,45416742.6
2015/5/25,9717.51,10040.71,9659.32,10040.09,261.92,2.68,2284639.54,41572508.52
2015/5/22,9756.53,9821.81,9547.42,9778.17,158.95,1.65,2225078.72,40887200.41
2015/5/21,9320.84,9620.1,9320.23,9619.22,341.89,3.69,1871779.92,33992013.17
2015/5/20,9176.03,9429.22,9173.4,9277.33,152.5,1.67,1909559.67,34143720.87
2015/5/19,8927.39,9125.52,8904.19,9124.83,221.24,2.48,1517545.92,27085799.19
2015/5/18,8725.41,8929.94,8698.9,8903.6,160.71,1.84,1404453.9,25535081.18
2015/5/15,8790.01,8828.12,8626.23,8742.89,-70.51,-0.8,1437135.77,25682453.42
2015/5/14,8829.83,8878.47,8725.3,8813.39,-11.54,-0.13,1490178.53,27216750.69
2015/5/13,8719.58,8909.58,8643.43,8824.93,79.25,0.91,1749864.41,31730502.87
2015/5/12,8595.08,8746.21,8564.66,8745.68,187.46,2.19,1658490.63,30103175.04
2015/5/11,8292.63,8558.8,8242.1,8558.22,356.93,4.35,1485723.1,26845521.88
2015/5/8,7989.34,8201.8,7983.83,8201.29,297.82,3.77,1188875.74,20315365.32
2015/5/7,8043.01,8076.23,7886.36,7903.48,-179.52,-2.22,1125709.41,17922292.51
2015/5/6,8220.6,8359.3,8012.48,8083,-116.34,-1.42,1293139.35,21929826.6
2015/5/5,8501.12,8501.12,8160.66,8199.34,-311.14,-3.66,1442242.75,23791488.22
2015/5/4,8493.96,8532.65,8381.37,8510.48,40.81,0.48,1362046.01,23526898.91
2015/4/30,8460.39,8551.47,8458.6,8469.67,41.42,0.49,1466538.91,25289893.5
2015/4/29,8248.32,8449.7,8204.73,8428.25,161.77,1.96,1450747.27,24841378.23
2015/4/28,8533.67,8543.33,8187.16,8266.48,-246.53,-2.9,1842576.25,30363730.84
2015/4/27,8503.57,8576.48,8413.23,8513.02,93.92,1.12,1856855.31,30731397.5
2015/4/24,8321.33,8453.34,8256.2,8419.1,8.39,0.1,1835276.76,30402751.25
2015/4/23,8371.85,8447.93,8275.13,8410.7,87.28,1.05,1979949.63,32287434.02
2015/4/22,8180.12,8333.82,8179.3,8323.43,210.74,2.6,1991569.22,31865248.67
2015/4/21,7852.52,8113.02,7846.61,8112.69,272.79,3.48,1698104.09,27244848.9
2015/4/20,7967.03,8051.47,7801.03,7839.9,-140.86,-1.76,2145960.65,33034902.48
2015/4/17,7979.35,8032.08,7925.74,7980.76,68.67,0.87,1911098.24,29925499.65
2015/4/16,7705.46,7976.12,7607.4,7912.09,109.34,1.4,1432460.59,23008519.11
2015/4/15,8093.13,8093.13,7786.93,7802.75,-317.21,-3.91,1672110.24,26648349.22
2015/4/14,8129.73,8192.24,8039.95,8119.96,-2.93,-0.04,1831904.97,29814602.81
2015/4/13,7994.25,8143.38,7977,8122.89,170.7,2.15,1784849.87,29700378.29
2015/4/10,7727.01,7971.62,7683.8,7952.19,206.04,2.66,1615029.66,25967263.91
